PID	Pathway Name	Corrected Pathway Name	Reviewed By	Curated By	Revision Date
p53downstreampathway	Direct p53 effectors		"Arnold J. Levine, Andreas Villunger, Jean-Christophe Marine"	Kira Anthony	18-Sep-10
dnapk_pathway	DNA-PK pathway in nonhomologous end joining		"Susan Lees-Miller, Lawrence Povirk"	Kira Anthony	18-Sep-10
CD8TCRdownstreampathway	Downstream signaling in naìve CD8+ T cells	Downstream signaling in nave CD8 T cells	"Alberto Anel, Nathalie Auphan-Anezin, Matthew Pipkin, Anjana Rao, Weiguo Zhang"	Kira Anthony	13-Mar-07
e2f_pathway	E2F transcription factor network		"Hans Rotheneder, James DeGregori"	Kira Anthony	18-Sep-10
Ecadherin_1_pathway	E-cadherin signaling events		"Alpha Yap, Frans Van Roy, Enzo Calautti, Daniel Bikle, Dave Bryant, Charles Yeaman"	Mhairi Skinner	13-Jul-09
Ecadherin_keratinocyte_pathway	E-cadherin signaling in keratinocytes		"Enzo Calautti, Daniel Bikle"	Mhairi Skinner	16-Sep-10
Ecadherin_nascentaj_pathway	E-cadherin signaling in the nascent adherens junction		"Alpha Yap, Frans Van Roy"	Mhairi Skinner	18-Sep-10
BotulinumToxinPathway	Effects of Botulinum toxin		"Bernard Poulain, Andreas Rummel"	Shiva Krupa	13-Apr-09
erbb1_receptor_proximal_pathway	EGF receptor (ErbB1) signaling pathway		"Julian Downward, Benjamin Margolis, Ami Citri, Alan Wells"	Mhairi Skinner	18-Sep-10
ET_EGFRpathway	EGFR-dependent Endothelin signaling events		"Angela Clerk, Takanobu Yoshimoto"	Kira Anthony and Shiva Krupa	11-May-09
toll_endogenous_pathway	Endogenous TLR signaling		"Clett Erridge, Kim S. Midwood"	Kira Anthony	18-Sep-10
endothelinpathway	Endothelins		"Angela Clerk, Takanobu Yoshimoto"	Kira Anthony and Shiva Krupa	16-Sep-10
epha_fwdpathway	EPHA forward signaling		"Jin Chen, Michael Kinch"	Kira Anthony	18-Sep-10
epha2_fwdpathway	EPHA2 forward signaling		"Jin Chen, Michael Kinch"	Kira Anthony	18-Sep-10
EPHBfwdpathway	EPHB forward signaling		Uyen Huynh-Do	Kira Anthony	9-Aug-10
ephrinarevpathway	Ephrin A reverse signaling		"Jin Chen, Michael Kinch"	Kira Anthony	16-Sep-10
EphrinBrevpathway	Ephrin B reverse signaling		Uyen Huynh-Do	Kira Anthony	18-Sep-10
ephrina_ephapathway	EphrinA-EPHA pathway		"Jin Chen, Michael Kinch"	Kira Anthony	9-Mar-09
EphrinB_EPHBpathway	EphrinB-EPHB pathway		Uyen Huynh-Do	Kira Anthony	9-Mar-09
epopathway2	EPO signaling pathway		Steve Sawyer	Shiva Krupa	8-Sep-08
ErbB_network_pathway	ErbB receptor signaling network		"Julian Downward, Ami Citri, Benjamin Margolis, Alan Wells"	Mhairi Skinner	10-May-10
erbb1_downstream_pathway	ErbB1 downstream signaling		"Julian Downward, Alan Wells, Ami Citri, Benjamin Margolis"	Mhairi Skinner	18-Sep-10
ErbB2ErbB3pathway	ErbB2/ErbB3 signaling events	ErbB2ErbB3 signaling events	"Kermit Carraway III, Ami Citri"	Mhairi Skinner	18-Sep-10
ErbB4_pathway	ErbB4 signaling events		"Klaus Elenius, David Riese II, Graham Carpenter"	Mhairi Skinner	18-Sep-10
fanconi_pathway	Fanconi anemia pathway		"Gary Kupfer, Ruhikanta A. Meetei"	Kira Anthony	18-Sep-10
faspathway	FAS (CD95) signaling pathway		"Ana Martin-Villalba, Ignacio Sancho-Martinez, Marcin Teodorczyk, Stefan Schutze"	Kira Anthony	13-Apr-09
fcer1pathway4	Fc-epsilon receptor I signaling in mast cells		"Alasdair M. Gilfillan, Michael A. Beaven "	Shiva Krupa	13-Mar-07
fgf_pathway	FGF signaling pathway		"Shereen Ezzat, Richard Grose"	Serena Tan	7-Apr-08
HNF3pathway	FOXA transcription factor networks		"Harikrishna Nakshatri, Markus Stoffel"	Kira Anthony	9-Mar-09
HNF3apathway	FOXA1 transcription factor network		Harikrishna Nakshatri	Kira Anthony	18-Sep-10
hnf3bpathway	FOXA2 and FOXA3 transcription factor networks		Markus Stoffel	Kira Anthony	13-Apr-09
FOXM1pathway	FOXM1 transcription factor network		Inken Wierstra	Kira Anthony	16-Sep-10
FOXOpathway	FoxO family signaling		Haojie Huang	Kira Anthony	7-Oct-09
reg_gr_pathway	Glucocorticoid receptor regulatory network		"Michael J. Garabedian, Eduardo Arzt"	Kira Anthony	18-Sep-10
gr_signal_pathway	Glucocorticoid receptor signaling		"Michael J. Garabedian, Eduardo Arzt"	Kira Anthony	8-Jun-09
glypican_1pathway	Glypican 1 network		"Dr Katrin Mani, Lars-Ake Fransson"	Mirko von Elstermann	18-Sep-10
glypican_2pathway	Glypican 2 network		Jorge Filmus	Mirko von Elstermann	8-Jun-09
glypican_3pathway	Glypican 3 network		Jorge Filmus	Mirko von Elstermann	13-Apr-09
glypicanpathway	Glypican pathway		"Jorge Filmus, Dr Katrin Mani, Lars-Ake Fransson"	Mirko von Elstermann	9-Mar-09
gmcsf_pathway	GMCSF-mediated signaling events		"Ke Shuai, Leo Koenderman"	Kira Anthony	18-Sep-10
Hedgehog_GliPathway	Hedgehog signaling events mediated by Gli proteins		"Alexandra L. Joyner, Sandra Blaess"	Kira Anthony	13-Jul-09
HIF1_TFpathway	HIF-1-alpha transcription factor network		"Guo-Hua Fong, Navdeep S. Chandel"	Kira Anthony	18-Sep-10
hif2pathway	HIF-2-alpha transcription factor network		"Sven Pahlman, Kazuhiro Sogawa"	Kira Anthony	18-Sep-10
hivnefpathway2	HIV-1 Nef: Negative effector of Fas and TNF-alpha	HIV-1 Nef Negative effector of Fas and TNF-alpha	Mario Stevenson	Shiva Krupa	13-Apr-09
hif1apathway	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha		"Guo-Hua Fong, Navdeep S. Chandel"	Kira Anthony	7-Oct-09
IFNgpathway	IFN-gamma pathway		"Dhan V. Kalvakolanu, Ke Shuai, Leonidas Platanias"	Kira Anthony	12-Jul-10
igf1_pathway	IGF1 pathway		Derek Leroith	Shiva Krupa	13-Apr-09
IL12_STAT4pathway	IL12 signaling mediated by STAT4		"Christopher Hunter, Howard Young"	Kira Anthony	18-Sep-10
IL12_2pathway	IL12-mediated signaling events		"Christopher Hunter, Howard Young"	Kira Anthony	9-Mar-09
IL1pathway	IL1-mediated signaling events		"Xiaoxia Li, Hong-Bing Shu"	Kira Anthony	18-Sep-10
IL2_PI3Kpathway	IL2 signaling events mediated by PI3K		"Massimo Gadina, Hodaka Fujii, Angelita Rebollo, Sarah L. Gaffen"	Kira Anthony	12-Apr-10
IL2_STAT5pathway	IL2 signaling events mediated by STAT5		"Massimo Gadina, Hodaka Fujii, Angelita Rebollo, Sarah L. Gaffen"	Kira Anthony	12-Apr-10
IL23pathway	IL23-mediated signaling events		Ho-Youn Kim	Kira Anthony	8-Nov-09
