PID	Pathway Name	Corrected Pathway Name	Reviewed By	Curated By	Revision Date
tnf_pathway	TNF receptor signaling pathway	TNF receptor signaling pathway 	Stefan Schutze	Kira Anthony	8-Oct-09
TRAIL_pathway	TRAIL signaling pathway		Hong-Bing Shu	Kira Anthony	8-Jun-10
PI3KPLCTRKpathway	Trk receptor signaling mediated by PI3K and PLC-gamma		"Susan O. Meakin, Juan Carlos Arevalo, Eric J. Huang"	Kira Anthony	9-Mar-09
MAPKTRKpathway	Trk receptor signaling mediated by the MAPK pathway		"Susan O. Meakin, Juan Carlos Arevalo"	Kira Anthony	16-Sep-10
uPA_uPAR_pathway	Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling		"Francesco Blasi, Harvey Smith, Pia Ragno"	Mhairi Skinner	18-Sep-10
era_genomic_pathway	Validated nuclear estrogen receptor alpha network		"Ann M Nardulli, Julie M Hall"	Kira Anthony	18-Sep-10
erb_genomic_pathway	Validated nuclear estrogen receptor beta network		"Ann M Nardulli, Julie M Hall"	Kira Anthony	18-Sep-10
myc_activpathway	Validated targets of C-MYC transcriptional activation		"Mikhail A. Nikiforov, Bernhard Luescher, Michael D. Cole"	Kira Anthony	8-Jun-10
myc_represspathway	Validated targets of C-MYC transcriptional repression		"Mikhail A. Nikiforov, Bernhard Luescher"	Kira Anthony	8-Jun-10
Fra_pathway	Validated transcriptional targets of AP1 family members Fra1 and Fra2		"Pasquale Verde, Erwin Wagner"	Mhairi Skinner	18-Sep-10
deltaNp63pathway	Validated transcriptional targets of deltaNp63 isoforms		"Roberto Mantovani, Satrajit Sinha, Rose-Anne Romano"	Kira Anthony	18-Sep-10
tap63pathway	Validated transcriptional targets of TAp63 isoforms		"Roberto Mantovani, Satrajit Sinha, Rose-Anne Romano"	Kira Anthony	18-Sep-10
VEGF_VEGFR_pathway	VEGF and VEGFR signaling network		"Jean-Philippe Gratton, Kurt Ballmer-Hofer, Ali Shamseddine, Lena Claesson-Welsh"	"Shiva Krupa, Mhairi Skinner"	18-Sep-10
vegfr1_pathway	VEGFR1 specific signals		"Jacques Huot, Lena Claesson-Welsh "	Shiva Krupa	12-Aug-08
Lymphangiogenesis_pathway	VEGFR3 signaling in lymphatic endothelium		"Lena Claesson-Welsh, Jacques Huot"	Shiva Krupa	12-Jul-10
Cone_Pathway	Visual signal transduction: Cones	Visual signal transduction Cones	Wolfgang Baehr 	Shiva Krupa	12-Apr-10
rhodopsin_pathway	Visual signal transduction: Rods	Visual signal transduction Rods	"Wolfgang Baehr, King-Wai Yau, "	Shiva Krupa	12-Apr-10
wnt_Signaling_pathway	Wnt signaling network		Akira Kikuchi	Mhairi Skinner	13-Jul-10
lis1pathway	Lissencephaly gene (LIS1) in neuronal migration and development		"Deanna Smith,Jeff Golden,William Dobyns"		13-Apr-09
trkrpathway	Neurotrophic factor-mediated Trk receptor signaling		"Juan Carlos Arevalo,Susan O. Meakin"		13-Oct-08
anthraxpathway	Cellular roles of Anthrax toxin		Kenneth Bradley		7-Sep-07
