BAIT_GENE_ID	BAIT_OFFICIAL_SYMBOL	PREY_GENE_ID	PREY_OFFICIAL_SYMBOL	EXPERIMENTAL_SYSTEM
7531	YWHAE	84952	CGNL1	Two-Hybrid
7532	YWHAG	6744	SSFA2	Two-Hybrid
7534	YWHAZ	25937	WWTR1	Two-Hybrid
54477	PLEKHA5	5339	PLEC	Two-Hybrid
324	APC	3852	KRT5	Two-Hybrid
324	APC	9883	POM121	Two-Hybrid
1385	CREB1	55729	ATF7IP	Two-Hybrid
5879	RAC1	8888	MCM3AP	Two-Hybrid
5879	RAC1	9223	MAGI1	Two-Hybrid
6721	SREBF2	7750	ZMYM2	Two-Hybrid
998	CDC42	114793	FMNL2	Two-Hybrid
7531	YWHAE	3097	HIVEP2	Two-Hybrid
7534	YWHAZ	51306	FAM13B	Two-Hybrid
54477	PLEKHA5	6709	SPTAN1	Two-Hybrid
324	APC	3267	AGFG1	Two-Hybrid
1432	MAPK14	203522	DDX26B	Two-Hybrid
2752	GLUL	8554	PIAS1	Two-Hybrid
4802	NFYC	196528	ARID2	Two-Hybrid
998	CDC42	152503	SH3D19	Two-Hybrid
7531	YWHAE	404734	ANKHD1-EIF4EBP3	Two-Hybrid
7534	YWHAZ	4033	LRMP	Two-Hybrid
324	APC	3866	KRT15	Two-Hybrid
324	APC	64397	ZFP106	Two-Hybrid
1432	MAPK14	219612	MUC12	Two-Hybrid
2885	GRB2	4130	MAP1A	Two-Hybrid
2885	GRB2	50807	ASAP1	Two-Hybrid
6721	SREBF2	23390	ZDHHC17	Two-Hybrid
7532	YWHAG	25937	WWTR1	Two-Hybrid
29993	PACSIN1	22837	COBLL1	Two-Hybrid
29993	PACSIN1	23301	EHBP1	Two-Hybrid
2885	GRB2	54206	ERRFI1	Two-Hybrid
7534	YWHAZ	9750	FAM65B	Two-Hybrid
1385	CREB1	23126	POGZ	Two-Hybrid
2885	GRB2	3937	LCP2	Two-Hybrid
4149	MAX	7461	CLIP2	Two-Hybrid
998	CDC42	158358	KIAA2026	Two-Hybrid
54472	TOLLIP	10040	TOM1L1	Two-Hybrid
54477	PLEKHA5	1674	DES	Two-Hybrid
324	APC	8888	MCM3AP	Two-Hybrid
7329	UBE2I	204851	HIPK1	Two-Hybrid
4802	NFYC	23390	ZDHHC17	Two-Hybrid
324	APC	89797	NAV2	Two-Hybrid
4802	NFYC	205717	KIAA2018	Two-Hybrid
54477	PLEKHA5	6711	SPTBN1	Two-Hybrid
6721	SREBF2	7791	ZYX	Two-Hybrid
65125	WNK1	65125	WNK1	Two-Hybrid
324	APC	3872	KRT17	Two-Hybrid
324	APC	6711	SPTBN1	Two-Hybrid
998	CDC42	219612	MUC12	Two-Hybrid
6721	SREBF2	3983	ABLIM1	Two-Hybrid
4802	NFYC	23126	POGZ	Two-Hybrid
29993	PACSIN1	23242	COBL	Two-Hybrid
7534	YWHAZ	55167	MSL2	Two-Hybrid
4149	MAX	23269	MGA	Two-Hybrid
324	APC	3880	KRT19	Two-Hybrid
324	APC	4629	MYH11	Two-Hybrid
324	APC	5903	RANBP2	Two-Hybrid
324	APC	23499	MACF1	Two-Hybrid
324	APC	4928	NUP98	Two-Hybrid
2885	GRB2	3190	HNRNPK	Two-Hybrid
6721	SREBF2	10956	OS9	Two-Hybrid
