GENE 1	GENE 1 ID	GENE 2	GENE 2 ID	Untreated (Sscore)	MMS (Sscore) 	log10(conditional pvalue) 
BCK1	853350	DCC1	850344	0.778865	1.92405	5.9439
RCS1		YBR239C		0.523753	2.37221	5.9436
HTZ1	854150	RAD51	856831	0.953471	1.747435	5.9359
PPZ2	852046	RXT2	852392	1.275804	1.332723	5.9311
RCS1		PTP1	851368	1.192152	1.406367	5.8902
RAD52	854976	TEL1	852190	1.006347	1.591952	5.8893
HIR3	853605	UME6	851788	0.810408	1.876446	5.8805
HAL5	853274	PTC1	851558	2.115177	1.10779	5.8252
MSN2	855053	KCS1	851580	8.595712	0.654335	5.7961
YKL161C		NRG1	851613	0.591886	2.257956	5.7746
HTZ1	854150	BUB1	853100	6.480666	0.037724	5.75
SSN8	855706	RAD52	854976	1.217999	1.164103	5.7173
RAD17	854550	HIR3	853605	0.039674	2.907944	5.6952
STB5	856583	RCS1		3.183369	1.090852	5.6726
YPL230W		RDR1	854562	6.385945	0.082691	5.6716
UME6	851788	PTC1	851558	1.142266	1.38749	5.6136
VPS71	854966	TOS4	850880	0.901798	1.713198	5.6015
NUT1	852726	DCC1	850344	0.787684	1.825622	5.595
UPC2	851799	RXT2	852392	1.208275	1.316112	5.5923
RAD52	854976	BCK1	853350	1.82306	1.170169	5.5794
SDP1	854693	RAD51	856831	1.189976	1.329915	5.5745
CLN1	855239	HCM1	850429	5.113938	0.367798	5.5493
SSN3	856065	RAD52	854976	1.065358	1.447295	5.5459
EAP1	853631	UME6	851788	0.695227	2.089922	5.5419
PPQ1	855923	BCK1	853350	1.630515	1.229064	5.5347
CLN1	855239	YCK3	856860	4.468151	0.76437	5.5063
RAD51	856831	DUN1	851457	0.385002	2.387739	5.4978
LEU3	851172	MMS22	851030	0.096923	2.969695	5.439
PRK1	854713	RCS1		1.353021	1.199694	5.436
OPI1	856366	RCS1		1.579233	1.240086	5.3962
PTP2	854383	PTC1	851558	11.590146	3.966136	5.3881
CKA2	854227	PTC1	851558	7.281745	1.008332	5.3692
NUT1	852726	UME6	851788	1.360159	1.166083	5.3358
RPD3	855386	YKR064W		5.435157	0.434561	5.3225
RCK1	852719	RCS1		1.101694	1.345975	5.2924
RAD17	854550	MBP1	851503	0.327095	3.15138	5.2763
TOR1	853529	DCC1	850344	0.404493	2.418805	5.273
IRE1	856478	RPN4	851542	10.52028	3.022001	5.2307
HTZ1	854150	UME6	851788	5.036021	0.260178	5.2186
YPL230W		YAP1	855005	5.456046	0.348424	5.2176
RAD17	854550	HIR2	854203	0.095141	2.901591	5.2171
RPD3	855386	UME6	851788	1.594946	1.171354	5.2167
RAD17	854550	PTC2	856823	0.063931	3.651173	5.2147
CLB5	856237	RAD52	854976	0.291562	3.0937	5.2028
RAD52	854976	CHA4	850787	5.581093	0.19825	5.1774
RAD52	854976	CLB1	853002	0.759708	1.73997	5.1683
TOS4	850880	BUB1	853100	6.911087	0.77992	5.1542
ELM1	853818	PTC1	851558	9.967179	2.536201	5.1475
SIN3	854158	SWI4	856847	7.299317	1.19271	5.1176
CKA1	854776	UME6	851788	0.500319	2.160574	5.1088
STB4	855033	ADR1	851802	1.133489	1.097672	5.0869
CTF18	855102	PPH3	851647	1.072542	1.320466	5.0839
SWI4	856847	PPH3	851647	0.836786	1.631172	5.0523
YGK3	853992	CLN1	855239	4.547863	0.435419	5.0477
HTZ1	854150	CTK1	853718	4.732785	0.436077	4.9976
LCB5	850964	YKL161C		8.48165	1.182262	4.9867
MSS11	855200	CTF8	856598	1.170787	1.193955	4.9778
ROX1	856178	RTG3	852171	2.194015	0.96244	4.9635
RSF2	853592	BUB1	853100	5.828641	0.187585	4.9594
RAD17	854550	YNR047W		0.105644	2.82999	4.949
PTC1	851558	PTC4	852422	1.075766	1.278343	4.9381
SLT2	856425	BUB1	853100	4.961036	0.15978	4.9156
SKO1	855554	CLN1	855239	4.71583	0.400149	4.9073
TWF1	852971	PTC1	851558	0.373022	2.225375	4.8978
SMK1	856167	RAD51	856831	0.687487	1.737611	4.8977
NRG1	851613	FUS3	852265	1.123658	1.217533	4.8902
MGA2	854851	RPN4	851542	4.981038	0.121422	4.8844
HMS1	854197	CTK3	854928	1.457886	1.201701	4.8647
RAD52	854976	DCC1	850344	2.704363	0.845772	4.8552
HMS1	854197	BCK1	853350	1.108905	1.218968	4.8411
CLN1	855239	KAR4	850303	0.203314	3.637554	4.8265
RCO1	855097	BUB1	853100	8.600292	1.441881	4.8173
CLB5	856237	CTF18	855102	4.800797	0.25909	4.8125
SSN3	856065	RAD51	856831	0.641105	1.759047	4.8089
PTK1	853635	AKL1	852351	5.609083	0.066649	4.8069
CLN1	855239	STB6	853790	4.455275	0.392221	4.8065
SLT2	856425	PKH3	852077	0.712733	1.68403	4.7969
SIN3	854158	SWR1	851934	5.668252	0.138874	4.7869
BYE1	853865	TPK1	853275	1.02951	1.283135	4.7852
ASF1	853327	RPN4	851542	4.790647	0.249541	4.7794
SPT23	853848	MGA2	854851	9.667178	2.541391	4.7786
ASF1	853327	DCC1	850344	2.24162	0.908042	4.7582
MMS22	851030	SUT1	852714	0.069631	2.593046	4.7525
PTK1	853635	SAT4	850366	1.101304	1.201276	4.7485
ELM1	853818	NNF2	852980	0.860215	1.479618	4.7445
WTM2	854404	MMS22	851030	0.12027	2.780041	4.7433
MMS22	851030	PPZ2	852046	4.29979	0.503289	4.7289
RAD52	854976	SSK22	850436	0.602092	1.940308	4.7127
RPD3	855386	FKH2	855656	3.864016	0.40797	4.7119
TOS4	850880	PTC1	851558	2.683739	0.805203	4.7082
CTK2	853450	SWC5	852532	8.856654	1.801544	4.6952
NUP133	853957	BCK1	853350	0.773495	1.594018	4.694
MSS11	855200	BCK1	853350	1.127241	1.15551	4.6765
UME6	851788	SSK22	850436	1.966598	0.879191	4.6675
YAP7	854129	KCS1	851580	5.969493	0.173012	4.6663
PHO23	855626	UPC2	851799	1.119501	1.159511	4.663
CKI1	850824	SNT2	852746	1.0725	1.051004	4.6604
ARK1	855711	MET18	854678	6.374588	0.589055	4.6508
UME6	851788	RAD18	850430	1.539197	1.053504	4.6506
RGM1	855220	CBF1	853523	0.2786	2.906456	4.6433
CLB5	856237	UME6	851788	5.416899	0.011663	4.6339
GCR2	855522	YDR026C		0.552751	1.961147	4.6199
SIN3	854158	RAD52	854976	1.231326	1.095048	4.6103
PLM2	852112	TEC1	852377	5.360879	0.047774	4.6039
RCS1		MBP1	851503	0.457142	2.05151	4.6029
MRE11	855264	PTC1	851558	3.264155	0.822209	4.6019
MSG5	855674	PTC1	851558	6.43672	0.692195	4.5928
ASF1	853327	SPT2	856908	5.95932	0.221326	4.5836
CBF1	853523	RCS1		6.933495	1.203152	4.5729
TOS4	850880	RGT1	853828	0.816362	1.512965	4.5613
