GENE 1	GENE 1 ID	GENE 2	GENE 2 ID	Untreated (Sscore)	MMS (Sscore) 	log10(conditional pvalue) 
HAL9	854064	SIP4	853356	0.492023	0.068327	0.44433
HAC1	850513	UPC2	851799	0.068989	0.422814	0.44432
NRG2	852358	SEF1	852214	1.292243	0.54347	0.4443
MKK2	855963	YAP3	856377	0.651464	0.067644	0.44425
YPK2	855130	NHP10	851562	0.407679	0.152578	0.44424
STB5	856583	PTC2	856823	0.145745	0.654621	0.44419
YPR022C		INO2	851701	0.226343	0.26534	0.44418
CLB6	853003	SNT2	852746	0.063555	0.563415	0.44416
SIP3	855464	XBP1	854706	0.361191	0.149902	0.44416
RDR1	854562	DIA3	851537	0.051289	0.542876	0.44406
RDR1	854562	PRK1	854713	0.153946	0.337633	0.44406
SPS18	855517	SIW14	855699	0.329175	0.175821	0.444
INO2	851701	PTC1	851558	3.793635	2.543975	0.444
RCK2	850950	KCC4	850334	1.065285	0.393714	0.44399
RCK1	852719	YBR028C		0.54576	0.014264	0.44399
PPZ1	854992	RAD51	856831	0.37322	0.145407	0.44395
MET31	856069	VPS71	854966	0.621882	1.166734	0.44378
SWE1	853252	HEX3		1.180748	0.485916	0.44375
HAP2	852614	YHP1	852062	2.14159	1.226084	0.44372
IRE1	856478	RTG2	852640	0.309157	0.817617	0.44372
HST3	854190	YKL171W		0.222102	0.730541	0.44369
CTI6	855920	PTC1	851558	0.004537	0.486733	0.44369
SPS18	855517	ARO80	852031	0.184699	0.306529	0.44364
HAP2	852614	KIN1	851700	1.222481	0.527788	0.44363
YMR1	853574	YHP1	852062	0.187938	0.696314	0.44362
SSN3	856065	YDR049W		0.375436	0.142883	0.44361
DAL82	855402	PSY2	855520	0.212261	0.278905	0.44357
YPL141C		SKS1	856081	0.65455	0.071432	0.44355
STP2	856397	NUT1	852726	0.256899	0.200862	0.44352
CAT8	855323	YJL206C	853224	0.204239	0.286877	0.44351
RDR1	854562	GCR2	855522	0.253965	0.203673	0.44337
HSL1	853760	RRI1	851310	0.436856	0.981262	0.44331
GLO3	856859	MTH1	851870	0.114194	0.376598	0.44313
HAA1	856117	SER2	853122	0.437926	0.982129	0.44309
ARR1	856329	ACA1	856769	0.138325	0.352406	0.44306
PSY2	855520	ACE2	850822	0.260128	0.767992	0.44304
CLA4	855418	RCO1	855097	1.112633	0.41868	0.44301
MBF1	854474	MET28	854834	0.103108	0.610937	0.443
RIM11	855170	PPH21	851421	0.618764	1.16288	0.443
PPG1	855766	YCK1	856537	0.207086	0.714851	0.44293
YOX1	854981	TWF1	852971	0.122734	0.630478	0.4429
VIP1	851126	PTP1	851368	0.056622	0.433915	0.44283
PPH21	851421	NRG2	852358	0.192897	0.297597	0.44278
YNL217W	855504	CLB4	850907	0.474896	0.083953	0.44278
IME1	853556	PTP1	851368	0.984357	1.551294	0.44278
LCB4	854342	DOT6	856822	0.367326	0.91123	0.44278
ARP8	854309	YPK1	853733	0.57247	1.116375	0.44278
YVH1	854844	KIN3	851273	0.244166	0.751786	0.44276
SKM1	854036	DAL82	855402	0.583947	0.025118	0.44276
YAP5	854835	PTC4	852422	0.456335	0.102489	0.44275
ELP3	856019	UPC2	851799	0.206173	0.71368	0.44263
YKL171W		MET32	851840	0.337771	0.872735	0.44258
VIP1	851126	NRG2	852358	0.5776	1.121279	0.44254
PIP2	854545	HAL9	854064	0.408682	0.952355	0.44253
RPD3	855386	TPK1	853275	1.657663	0.771966	0.44253
BUB1	853100	KCS1	851580	0.466485	0.09211	0.44252
SDP1	854693	PPS1	852579	1.524723	0.685839	0.44246
YNR063W	855800	BYE1	853865	0.265953	0.190955	0.44245
SPS18	855517	HAP3	852260	0.177971	0.312246	0.44245
PHD1	853823	CBF1	853523	0.146491	0.653805	0.44241
STB5	856583	EDS1	852321	0.379707	0.137538	0.44241
SET2	853271	PDR1	852871	3.368528	2.196783	0.4424
HST3	854190	PSK1	851216	0.063162	0.570459	0.44239
HMS2	853612	SER2	853122	0.750633	1.317137	0.44234
HRK1	854441	CUP2	852710	0.6347	0.052834	0.4423
PTP2	854383	RTT101	853400	0.292667	0.799849	0.44226
YMR1	853574	CTK2	853450	0.653257	1.196646	0.44223
HMS1	854197	IXR1	853836	2.549232	1.524702	0.44221
SIP3	855464	NNF2	852980	1.801297	0.903813	0.44211
RTG1	854087	SMP1	852480	0.768334	1.334561	0.44206
YPL109C	855995	YJL057C		0.091672	0.398207	0.44205
FZF1	852638	HCM1	850429	0.737952	0.156341	0.44205
AHC1	854188	SPT2	856908	0.040283	0.449582	0.44203
OPI1	856366	MRK1	851480	0.174349	0.681326	0.44203
SCY1	852797	DOT6	856822	0.198544	0.70551	0.44202
YNR063W	855800	SKY1	855256	0.020444	0.469398	0.44201
PBS2	853313	RPH1	856916	0.085892	0.403953	0.44201
PPQ1	855923	AKL1	852351	0.20864	0.715604	0.44201
SCY1	852797	PRR2	851312	0.18554	0.304294	0.442
SKS1	856081	YLR278C	850984	0.94626	0.291499	0.44189
EAF3	856134	HSL1	853760	0.186946	0.302779	0.44187
MBF1	854474	RAD52	854976	0.561882	1.104874	0.44181
CTI6	855920	STP1	852074	0.669584	0.088214	0.44181
YPL141C		LEU3	851172	0.061819	0.427825	0.44177
YMR291W		GTS1	852694	0.423594	0.966466	0.44168
AHC1	854188	YGK3	853992	0.507565	0.05017	0.44163
PSK2	854111	MRE11	855264	0.566277	0.008541	0.44163
KSP1	856482	PKH3	852077	0.695633	0.114538	0.44154
ASK10	852989	YFL052W		0.238399	0.217771	0.44151
SFL1	854307	CKA1	854776	0.038758	0.450656	0.4415
SKO1	855554	ACA1	856769	0.057033	0.432346	0.44146
YPK1	853733	BCK1	853350	0.081308	0.587755	0.44143
MIH1	855052	RPH1	856916	0.252871	0.203213	0.4414
PTK2	853522	PTC4	852422	0.091016	0.398292	0.44138
CKA2	854227	LEU3	851172	0.558919	0.001474	0.44133
SLT2	856425	SCY1	852797	0.326234	0.860029	0.44132
KNS1	850641	SDP1	854693	0.268919	0.187066	0.44128
VAC14	851102	YDR067C		2.617953	1.551165	0.44119
MRK1	851480	CHK1	852577	0.21478	0.274361	0.44118
YPL230W		ACE2	850822	0.800272	0.189842	0.44116
SIP3	855464	CKI1	850824	0.727042	0.146399	0.44109
LCB4	854342	TOS8	852783	0.721837	0.14124	0.44105
HAC1	850513	PPS1	852579	0.703745	0.123147	0.44105
HMS1	854197	MRK1	851480	0.081885	0.587975	0.44102
DIA3	851537	RDS1	850470	0.085736	0.59178	0.44097
AHC1	854188	RME1	852935	0.31186	0.845336	0.44097
MSS11	855200	YIL042C		0.57309	0.016008	0.44095
STB6	853790	HEX3		0.288341	0.794342	0.44092
PHO23	855626	KAR4	850303	0.311655	0.183777	0.44089
CTK2	853450	CLB1	853002	0.044483	0.444326	0.44079
INO4	854042	YCR079W		1.501532	0.66517	0.44072
YGL059W		ARG82	851753	0.176261	0.682035	0.44066
CUP9	855926	SIW14	855699	0.137019	0.351568	0.44053
PPH22	851339	SAT4	850366	1.243512	1.808194	0.44049
RAD53	855950	FKH2	855656	0.960682	1.52537	0.44049
PGD1	852860	PPZ2	852046	0.049509	0.438989	0.44043
SDP1	854693	PHO2	851452	0.252559	0.758091	0.44039
KNS1	850641	SAT4	850366	0.304397	0.190563	0.44035
ASH1	853650	ADR1	851802	0.181574	0.306854	0.44034
YAP1	855005	CDC28	852457	0.296689	0.19818	0.44024
AZF1	854280	LEU3	851172	1.255826	0.533671	0.44021
LCB4	854342	FZF1	852638	0.823292	0.213888	0.4402
YML081W		KAR4	850303	0.008811	0.497096	0.44018
YER130C		UBC13	851666	0.358175	0.899588	0.44013
RPI1	854687	OTU1	850500	0.230469	0.73577	0.44012
YPK2	855130	YFL052W		0.289912	0.204844	0.44011
STB2	855075	SMP1	852480	0.339864	0.872519	0.44009
PKH2	854053	REI1	852569	0.888851	0.271183	0.44008
CIN5	854193	YJL206C	853224	0.428165	0.12805	0.44006
NUT1	852726	SMP1	852480	0.415947	0.140233	0.44002
PKH2	854053	EDS1	852321	0.223057	0.265092	0.44002
GAT4	854830	YBL054W		0.882654	0.265056	0.44001
YNL217W	855504	SER2	853122	0.742684	0.163145	0.44
YPL236C		SWC5	852532	0.323308	0.178183	0.43999
CTI6	855920	TPK3	853688	0.311078	0.843632	0.43998
MRE11	855264	YBL054W		0.099277	0.604386	0.4399
HTZ1	854150	HIR3	853605	0.225313	0.26273	0.43989
MEK1	854533	HST3	854190	0.948578	0.296135	0.43985
PML1	850703	SWI5	851724	0.548651	0.007298	0.43978
TOS4	850880	SIP4	853356	1.740913	0.847172	0.43971
GAT1	850523	TBS1	852447	0.910556	1.474441	0.43967
PHO80	854161	YAP3	856377	1.399677	1.96355	0.43966
UBC13	851666	SAT4	850366	0.50242	0.053327	0.43957
KKQ8	853686	PRK1	854713	0.632118	0.053083	0.4395
CKA2	854227	STB5	856583	0.579718	0.02413	0.43941
HOT1	855208	CNA1	851153	0.341945	0.158988	0.43935
IME1	853556	MET28	854834	0.216509	0.271016	0.43928
MIG1	852848	RXT2	852392	0.620109	0.041314	0.43926
CKI1	850824	CTF8	856598	0.301431	0.192527	0.43918
STB4	855033	YAP3	856377	0.081937	0.586336	0.4391
SMK1	856167	NPR1	855538	0.066346	0.561833	0.4391
CLB5	856237	SPT23	853848	1.24275	0.522039	0.43906
BDF1	851115	INO2	851701	0.429181	0.126068	0.43906
HAP2	852614	YCR095C		0.73479	0.15621	0.43905
VIP1	851126	DAL80	853904	1.57071	0.736831	0.43902
CUP9	855926	ISW1	852547	0.114276	0.618595	0.43901
SIN3	854158	YCK2	855568	0.053953	0.541218	0.43898
PKH3	852077	YDR266C		0.258627	0.195536	0.43898
SDP1	854693	DOT6	856822	0.003441	0.483779	0.43892
MKK1	854406	JHD1	856777	0.225994	0.730212	0.43889
SWI4	856847	TBS1	852447	0.849741	1.412826	0.43886
AZF1	854280	YKR064W		0.056156	0.430997	0.43884
MMS1	856293	TPK2	855898	0.497251	0.057771	0.43883
DMA1	856515	ACA1	856769	0.162849	0.666976	0.43879
CTI6	855920	CTF8	856598	0.267413	0.186542	0.43872
AHC1	854188	PKH3	852077	0.555792	0.000911	0.43868
CBF1	853523	ISW1	852547	2.158426	1.251064	0.43858
DCC1	850344	SWC5	852532	1.729465	0.837518	0.43856
PTK1	853635	DMA1	856515	0.134653	0.638555	0.43853
EAF3	856134	YPL141C		0.31794	0.182261	0.43851
HIR2	854203	BAS1	853974	0.731855	1.271737	0.43851
CLB2	856236	CMK2	854144	0.525576	1.065427	0.43848
GAL80	854954	HIR1	852275	0.923896	0.273018	0.43847
BYE1	853865	SAK1	856866	1.196302	0.507835	0.43845
DMA2	855607	KIN1	851700	1.145877	1.70854	0.43843
AFT2	855899	MRE11	855264	0.134217	0.63793	0.43832
MRE11	855264	PPH21	851421	0.948553	0.297854	0.43831
YPL109C	855995	YER184C		0.26009	0.193472	0.43822
PTP2	854383	TEL1	852190	0.492485	0.061952	0.43822
YKL171W		CBF1	853523	1.81128	0.919896	0.4382
SIP3	855464	PTC2	856823	0.091148	0.395456	0.4382
RPH1	856916	RXT2	852392	0.408098	0.947669	0.43818
YRR1	854333	CKA2	854227	0.159941	0.326639	0.43817
YCR095C		AKL1	852351	1.211721	0.523646	0.43812
TOF1	855448	FAB1	850574	0.962595	0.312154	0.43809
YPR196W	856326	YBL054W		0.474449	1.013939	0.43809
RDR1	854562	IRE1	856478	0.170323	0.673748	0.43799
UME1	855964	YLR278C	850984	0.264153	0.189208	0.43797
PPZ1	854992	PTC2	856823	0.296256	0.196586	0.43789
RGM1	855220	GAL80	854954	0.174995	0.311249	0.43778
YAP7	854129	YAK1	853300	0.241011	0.212191	0.43777
MIH1	855052	CTK1	853718	0.251639	0.754846	0.43775
TYE7	854525	SIP4	853356	0.138038	0.348177	0.43774
DBF20	856227	PTP1	851368	0.059262	0.545471	0.43774
SPT23	853848	YER184C		1.013297	0.348992	0.43773
CUP9	855926	IRE1	856478	0.16862	0.671815	0.43773
ASK10	852989	MRK1	851480	0.577853	0.023913	0.43771
YPL230W		ARK1	855711	1.033174	0.369006	0.43762
SNT2	852746	NRG2	852358	0.758909	1.320753	0.4376
STB4	855033	NUT1	852726	0.334738	0.164621	0.43755
SFL1	854307	SIP3	855464	0.377367	0.135431	0.43746
CIN5	854193	RAD51	856831	1.83186	2.549954	0.4374
GAL80	854954	RTG3	852171	1.401063	1.962682	0.43737
MEK1	854533	MGA1	853164	0.669874	0.093014	0.43735
RDS2	855970	HMS2	853612	0.190124	0.29575	0.43734
ELM1	853818	SCY1	852797	0.242888	0.745722	0.43732
SMK1	856167	ATG1	852695	0.155001	0.330815	0.43728
YAP1	855005	RPH1	856916	0.855114	0.248813	0.43728
MBF1	854474	RAD5	850719	0.370172	0.908886	0.43727
VIP1	851126	CTF8	856598	2.267085	1.361883	0.43722
MIH1	855052	ACE2	850822	0.474792	1.013446	0.43721
YNL056W		SLX8	856852	0.485872	1.024522	0.4372
GAT1	850523	DIA3	851537	0.005964	0.491691	0.43717
FKH2	855656	CTF18	855102	2.785715	1.726435	0.43715
HST3	854190	SPT2	856908	0.114993	0.370691	0.43712
CLN2	855819	CKB2	854204	0.207121	0.709762	0.4371
PML1	850703	YKL161C		0.599938	1.138436	0.43704
MKK2	855963	YER184C		0.196661	0.699235	0.43703
SKY1	855256	RSF2	853592	0.937168	1.498445	0.43702
ATG1	852695	TOS8	852783	0.017929	0.503523	0.43701
PML1	850703	HCM1	850429	0.099366	0.386188	0.43697
SWI4	856847	MRC1	850297	0.049957	0.435578	0.43695
OCA1	855624	KSS1	852931	0.584832	0.031662	0.43692
SNF1	852088	MET32	851840	0.486752	1.025116	0.4369
FKH2	855656	MRE11	855264	0.491426	0.061727	0.4369
ELM1	853818	PTC2	856823	0.313361	0.815749	0.43682
RDR1	854562	MDS3	852678	0.346618	0.876217	0.4368
YPL141C		CTF8	856598	0.304852	0.187017	0.43676
ECM22	850928	TWF1	852971	1.143444	0.457054	0.43673
GCN2	851877	PPH22	851339	0.064222	0.421112	0.43671
KIN4	854408	MOT2	856799	0.741153	0.164987	0.43666
YPL109C	855995	SIP4	853356	0.066543	0.568771	0.43664
MEK1	854533	ASK10	852989	0.007763	0.493034	0.43664
RLM1	856016	VPS75	855475	0.701917	1.239933	0.43653
YPL109C	855995	HAP2	852614	0.054019	0.539193	0.43652
GZF3	853334	PTP1	851368	0.96564	0.317065	0.43645
GAT4	854830	PTC1	851558	0.096272	0.598325	0.43644
ISR1	856221	RTG3	852171	0.565445	1.103319	0.43638
PTK2	853522	GAL3	851572	0.190325	0.294731	0.43638
YAK1	853300	INO2	851701	0.300747	0.190791	0.43638
DAL80	853904	RAD9	851803	0.091506	0.393547	0.43638
VPS71	854966	WWM1	850538	0.031515	0.516516	0.43632
YNR063W	855800	YER130C		0.575547	0.022976	0.4363
MEK1	854533	MOT2	856799	0.224294	0.260662	0.43627
YPL141C		HAC1	850513	0.21977	0.265174	0.43625
CTF18	855102	SSK22	850436	0.050154	0.434778	0.43624
MBF1	854474	ACE2	850822	0.126304	0.628171	0.43623
LCB4	854342	VIP1	851126	0.434564	0.117913	0.4362
SIW14	855699	EDS1	852321	0.261432	0.763246	0.43617
RGM1	855220	RCK1	852719	0.249663	0.751465	0.43615
HOG1	850803	PRR2	851312	0.330635	0.167476	0.43612
UME1	855964	CKA1	854776	0.332609	0.861564	0.43611
PSY2	855520	EDS1	852321	0.422249	0.130135	0.43611
RCS1		PLM2	852112	2.843645	1.786349	0.43608
RLM1	856016	PSK1	851216	0.071437	0.41328	0.43599
INO4	854042	HIR1	852275	0.692839	0.117368	0.43598
PTP2	854383	RSF2	853592	0.777175	0.172293	0.43594
YPL109C	855995	PHO23	855626	0.155754	0.328861	0.43587
YPR196W	856326	GLO3	856859	0.280874	0.782417	0.43586
SMK1	856167	PPZ2	852046	0.25705	0.758585	0.43585
CKA1	854776	MEC1	852433	0.352343	0.145528	0.43585
HRK1	854441	YPK2	855130	0.060824	0.553453	0.4358
SET1	856519	PDR1	852871	0.214446	0.715899	0.43576
IXR1	853836	MOT2	856799	3.263196	2.105089	0.4357
BAS1	853974	SET2	853271	1.461179	2.177112	0.43569
PTP2	854383	STB2	855075	0.397798	0.934968	0.43564
SIW14	855699	TPK1	853275	0.214983	0.716304	0.43561
YER130C		YHP1	852062	0.704256	1.2414	0.43561
STB1	855407	FMP48	852943	0.75332	1.313195	0.4356
CLA4	855418	NRG2	852358	0.237344	0.247033	0.43559
YPR196W	856326	SPS18	855517	0.232878	0.251458	0.43554
YNL056W		NNF2	852980	0.167573	0.668826	0.43553
HOT1	855208	MBP1	851503	0.158594	0.325698	0.43549
KCC4	850334	PHO5	852390	0.317255	0.180287	0.43547
HAT1	856106	MIG1	852848	0.770284	0.165948	0.43543
SAE2	852700	YER130C		0.846101	1.405791	0.43542
RLM1	856016	RTG2	852640	0.732971	1.269912	0.4354
YGL059W		CLN3	851191	0.091411	0.392806	0.4354
SSK2	855765	HAL5	853274	0.561154	0.009524	0.43533
LCB4	854342	NRG1	851613	0.000355	0.483792	0.43532
CTK2	853450	RPH1	856916	0.583602	1.120418	0.43527
STP2	856397	CLN3	851191	0.980767	0.319416	0.4352
ISR1	856221	YKU70	855328	0.711659	0.13705	0.43512
YKL161C		INO2	851701	0.415621	0.135797	0.43512
RPN4	851542	THI2	852542	0.252924	0.198072	0.43499
LEU3	851172	IES3	850741	0.730928	0.156477	0.43497
DAL82	855402	BUB1	853100	3.723959	2.493945	0.43492
YVH1	854844	EDS1	852321	0.520452	1.056926	0.4349
CAT8	855323	STB4	855033	0.952757	0.305958	0.43489
RME1	852935	TOS8	852783	0.18207	0.301644	0.43481
YML081W		DOT6	856822	0.410825	0.140286	0.4348
SKM1	854036	SIW14	855699	0.196188	0.696784	0.43479
SOK2	855030	CLB4	850907	0.356076	0.146725	0.43478
SKM1	854036	ARG81	854874	0.51903	0.032058	0.43478
HIR3	853605	DUN1	851457	0.255782	0.756347	0.43475
GAT3	850700	OTU1	850500	0.229318	0.254347	0.43475
RAD5	850719	YDR026C		0.586263	0.035286	0.43466
YPL109C	855995	SPT23	853848	0.310135	0.810592	0.43463
GCR2	855522	YDR049W		2.268617	1.367649	0.43456
DCN1	850819	RME1	852935	0.449252	0.985369	0.43453
CUP9	855926	MET32	851840	0.819415	1.378232	0.43453
YPR196W	856326	MKK2	855963	1.093514	0.409826	0.43449
YPK2	855130	KIN1	851700	1.248789	0.533852	0.43448
CLB2	856236	KNS1	850641	0.328963	0.85635	0.43442
SKS1	856081	KSS1	852931	0.629096	1.165034	0.43434
YDL025C		PDR3	852278	0.478372	0.072264	0.43431
BYE1	853865	GLO3	856859	0.180041	0.303239	0.4343
DAL82	855402	YKL161C		0.303756	0.803908	0.43429
STB4	855033	NDT80	856524	0.035981	0.447282	0.43428
MSN2	855053	RTT109	850658	0.107791	0.607923	0.43426
MET18	854678	KCC4	850334	1.747608	0.862413	0.43424
CRZ1	855704	YKL222C	853658	0.766762	0.163701	0.43423
RDS2	855970	LCB5	850964	0.126832	0.626926	0.43422
YPL141C		STB5	856583	0.22874	0.221593	0.43416
HAC1	850513	DCC1	850344	0.064703	0.555901	0.43415
DAL82	855402	CTF8	856598	0.316436	0.843554	0.43414
RCO1	855097	AKL1	852351	1.44833	0.636894	0.43406
PLM2	852112	YDR067C		0.106678	0.606597	0.43402
HAT1	856106	HAC1	850513	0.096167	0.386845	0.43399
RTT101	853400	HAP3	852260	0.072935	0.572812	0.43398
BDF1	851115	PPR1	850701	0.266226	0.183941	0.43395
CLB5	856237	CKI1	850824	0.031894	0.450976	0.43382
YKL161C		RME1	852935	0.148305	0.648038	0.43381
RAD52	854976	PLM2	852112	0.034735	0.448106	0.43379
SWI6	850879	CLB1	853002	0.694155	0.120961	0.43373
DAL81	854841	INO2	851701	0.390167	0.925531	0.43373
ARG81	854874	YDL025C		0.704254	0.131077	0.43371
SDP1	854693	SPT2	856908	0.543478	0.006534	0.43367
RTG1	854087	SAK1	856866	0.708508	0.135407	0.43364
GLO3	856859	OAF1	851247	0.191467	0.291235	0.43363
WAR1	854899	UME6	851788	0.612667	0.039575	0.43363
YGR067C	852958	KIN3	851273	1.03019	0.370788	0.43353
GZF3	853334	REI1	852569	0.121078	0.620497	0.43346
MAL33	852600	NRG2	852358	0.185257	0.297292	0.43345
INO4	854042	BUB1	853100	0.821677	0.219551	0.43336
CMK2	854144	ARG80	855059	0.830926	0.22881	0.43335
SKO1	855554	YAP3	856377	0.451842	0.097861	0.43335
MEK1	854533	PHO2	851452	0.368421	0.140668	0.43334
TPK3	853688	NRG1	851613	0.745847	1.303489	0.43334
OCA1	855624	MSS11	855200	0.098962	0.383487	0.43333
YJL206C	853224	RDS1	850470	0.193225	0.289219	0.43333
YOX1	854981	MIG1	852848	0.686601	1.221553	0.4333
YPK2	855130	YER184C		0.929902	0.284944	0.43328
BCK1	853350	TWF1	852971	0.382814	0.917746	0.43328
FKH1	854675	UME6	851788	0.233996	0.215583	0.43322
MIG2	852663	PPH22	851339	2.130261	1.231588	0.43312
CRZ1	855704	PML1	850703	0.679239	0.106729	0.43306
HDA1	855710	MRK1	851480	0.560992	0.011677	0.43296
YHP1	852062	KIN1	851700	0.23654	0.24554	0.4329
SIN3	854158	YCR095C		0.033497	0.448558	0.43287
HMS1	854197	IME2	853338	0.116531	0.365508	0.43285
YKL222C	853658	SAK1	856866	1.350302	0.616399	0.43283
FAB1	850574	KIN3	851273	0.407992	0.141122	0.43275
CTF18	855102	SNF1	852088	0.427388	0.96182	0.43275
VPS71	854966	YCR079W		0.875204	1.432238	0.43273
YIL042C		CLB6	853003	0.302956	0.185421	0.43273
RSC1	852947	PLM2	852112	0.5567	1.090938	0.43255
PPR1	850701	YGR067C	852958	0.077354	0.404419	0.43254
PTP2	854383	BDF1	851115	0.234659	0.247104	0.43253
MKK1	854406	MIH1	855052	0.511046	0.037823	0.4325
LCB5	850964	FAB1	850574	0.674341	0.102446	0.43245
PTC5	854257	SMP1	852480	0.304382	0.183732	0.43243
PKH3	852077	PPH3	851647	0.531088	1.065197	0.43241
PPG1	855766	SLX8	856852	1.55465	0.730487	0.43237
RAD9	851803	PTP1	851368	0.492481	1.026485	0.4323
SSK2	855765	YPS1	850811	0.533529	1.067496	0.43226
STB4	855033	RPN4	851542	0.580522	1.11444	0.43221
MMS1	856293	NNF2	852980	0.573022	1.106931	0.4322
ARP8	854309	STB1	855407	0.657276	1.191186	0.4322
TEA1	854515	DIA3	851537	0.337278	0.862528	0.43213
STB6	853790	IME1	853556	1.193364	0.512559	0.43211
TPK2	855898	IME1	853556	0.374058	0.907859	0.43209
SLT2	856425	YER130C		0.423966	0.957628	0.43194
IES3	850741	FMP48	852943	0.037392	0.518634	0.43192
CLN1	855239	ARG82	851753	0.025405	0.506604	0.43187
RPH1	856916	YER130C		0.688108	0.116808	0.43187
YER184C		PTC4	852422	0.525032	1.058607	0.43185
YLR278C	850984	KIN82	850453	0.157497	0.655458	0.43181
PTP2	854383	GAT1	850523	0.507659	0.040507	0.43178
MSN2	855053	SNT2	852746	0.35972	0.884606	0.43175
TOS8	852783	YDL025C		0.25364	0.75151	0.43171
PIP2	854545	PPR1	850701	0.985899	0.328651	0.43169
SKM1	854036	STB6	853790	0.744515	1.300452	0.43162
YPL230W		TYE7	854525	0.925645	0.282589	0.43162
SPT2	856908	UBC13	851666	0.091933	0.589726	0.43162
WTM2	854404	HDA1	855710	0.166952	0.314035	0.43162
GAL3	851572	PPH22	851339	0.83229	0.232049	0.43159
TEP1	855595	SMP1	852480	0.341983	0.152092	0.43153
UME6	851788	SAT4	850366	1.936731	2.647409	0.43153
TOR1	853529	NDT80	856524	0.085357	0.395469	0.43144
PTC5	854257	CNA1	851153	0.131472	0.349353	0.43143
CHK1	852577	OAF1	851247	0.001597	0.482396	0.4314
TOF1	855448	YLR278C	850984	0.547355	0.000441	0.4314
PRR1	853744	RME1	852935	0.370689	0.903825	0.43139
SPS18	855517	DAT1	854927	0.143	0.337776	0.43138
NUP133	853957	NDT80	856524	1.308619	0.576601	0.43138
HAL5	853274	CLN3	851191	0.874382	0.266155	0.43134
FAB1	850574	TEC1	852377	0.576442	1.109469	0.43127
CLB2	856236	MSN2	855053	0.143844	0.336801	0.43122
KIN4	854408	YCR095C		0.039677	0.52029	0.43119
YPL236C		FAB1	850574	0.074716	0.405876	0.43116
YPK2	855130	GLN3	856763	0.416706	0.949607	0.43114
SET3	853900	YGL059W		0.826686	1.382129	0.43112
RFX1	850873	RPH1	856916	0.089742	0.390804	0.43111
SLT2	856425	CLB6	853003	0.046243	0.4343	0.43111
CLB6	853003	VHS1	851834	0.437698	0.109807	0.4311
PPZ1	854992	YGR067C	852958	0.125799	0.354658	0.43101
TPK2	855898	INO2	851701	0.580567	1.11334	0.431
GPT2	853941	SET2	853271	0.828523	0.228911	0.431
SSN8	855706	YDR026C		0.470226	0.077172	0.43099
YPR022C		YER184C		0.228705	0.725895	0.43094
SSK2	855765	SKO1	855554	0.03513	0.515491	0.43089
MDS3	852678	CUP2	852710	0.572524	1.10518	0.43088
CAD1	852033	PRR2	851312	0.646139	0.075848	0.43087
SKM1	854036	DAT1	854927	0.190042	0.290259	0.43082
TEA1	854515	KIN4	854408	1.482076	0.660203	0.4308
INO4	854042	PPZ1	854992	0.446271	0.100921	0.43078
YPK2	855130	SCY1	852797	0.070887	0.559129	0.43076
PPR1	850701	YDL025C		0.169761	0.666768	0.43074
GAL4	855828	ACE2	850822	0.212295	0.267872	0.43067
YNR063W	855800	GTS1	852694	0.050096	0.430059	0.43065
CUP9	855926	MGA2	854851	0.325971	0.167318	0.43064
PPQ1	855923	FKH1	854675	0.127067	0.353081	0.43064
HAP2	852614	TOS3	852696	0.074766	0.571665	0.43061
UME1	855964	SLT2	856425	1.192503	0.513652	0.43049
VPS72	852096	PPH22	851339	0.206635	0.273382	0.43049
FAR10	850939	TEL1	852190	0.442699	0.97497	0.43048
SSN3	856065	RPN4	851542	0.017847	0.497767	0.43038
ARG81	854874	KSS1	852931	0.340036	0.86364	0.43037
CHA4	850787	IME2	853338	0.935246	0.293646	0.43035
MKK2	855963	TYE7	854525	0.696119	0.126368	0.43034
GAT3	850700	PTC2	856823	0.907768	0.266204	0.43032
IME1	853556	CLB6	853003	0.547719	0.001046	0.43025
MEK1	854533	RIM101	856358	1.065933	0.410465	0.43017
CAT8	855323	HIR1	852275	0.298809	0.187327	0.43015
SLX8	856852	YDL025C		0.684166	1.216068	0.43009
PLM2	852112	YCR079W		0.004341	0.484007	0.43008
CKA1	854776	YCR095C		0.110434	0.369224	0.43007
YOX1	854981	PRR1	853744	0.299042	0.186996	0.43004
GLO3	856859	ARO80	852031	0.030162	0.509727	0.42997
KIN4	854408	PHO80	854161	0.343951	0.148753	0.42997
HAP5	854540	ARG80	855059	0.488889	0.05749	0.42995
RIM11	855170	FAR10	850939	0.472088	0.074263	0.42992
YGK3	853992	MRK1	851480	0.467645	0.99939	0.42992
MSN1	854033	HOT1	855208	0.23718	0.733453	0.42991
YPR196W	856326	CUP9	855926	0.404847	0.936532	0.42986
MKK2	855963	YPK2	855130	0.523599	0.022697	0.42986
SAE2	852700	YCR095C		0.064074	0.551482	0.4298
BUB1	853100	PTC4	852422	0.675493	1.207021	0.42969
TPK3	853688	YGR067C	852958	0.261678	0.185084	0.42969
XBP1	854706	PGD1	852860	0.186192	0.293137	0.42969
SER2	853122	SMP1	852480	0.064383	0.551682	0.42967
FKH2	855656	CLB4	850907	0.615385	1.146879	0.42966
YPK1	853733	SWI5	851724	2.921522	1.87624	0.42964
YPK1	853733	VHS1	851834	0.128009	0.351263	0.42962
WTM2	854404	CLB4	850907	0.582798	0.036768	0.42959
